95929;1674;1
95929;5056;0
95929;7117;0
95929;3403;0
95929;2116;1
95929;1454;1
57790;1674;1
57790;5056;0
57790;3403;0
57790;2116;1
57790;1454;1
71948;1674;1
71948;3403;0
71948;1454;1
71948;7943;1
11350;1674;1
11350;3403;0
11350;1454;1
11350;7943;1
13859;1674;1
13859;7117;0
13859;2116;1
13859;1454;1
26910;1674;1
26910;5056;0
26910;7117;0
26910;1454;1
26910;7943;1
42574;1674;1
42574;2116;1
42574;1454;1
81697;1674;1
81697;7117;0
81697;3403;0
81697;2116;1
81697;1454;1
50342;1674;1
50342;5056;0
50342;7117;0
50342;1454;1
50342;7943;1
22853;1674;1
22853;7117;0
22853;3403;0
22853;1454;1
22853;7943;1
51571;1674;1
51571;3403;0
51571;1454;1
51571;7943;1
38807;1674;1
38807;7117;0
38807;3403;0
38807;2116;1
38807;1454;1
29122;1674;1
29122;7117;0
29122;2116;1
29122;1454;1
66802;1674;1
66802;5056;0
66802;1454;1
66802;7943;1
24259;1674;1
24259;5056;0
24259;7117;0
24259;3403;0
24259;2116;1
24259;1454;1
22241;1674;1
22241;7117;0
22241;3403;0
22241;2116;1
22241;1454;1
97899;1674;1
97899;5056;0
97899;2116;0
97899;1454;1
97899;7943;1
38129;1674;1
38129;2116;1
38129;1454;1
38312;1674;1
38312;7117;0
38312;3403;0
38312;2116;1
38312;1454;1
88783;1674;1
88783;5056;0
88783;3403;0
88783;2116;1
88783;1454;1
77751;1674;1
77751;7117;0
77751;3403;0
77751;1454;1
77751;7943;1
16998;1674;1
16998;7117;0
16998;1454;1
16998;7943;1
74528;1674;1
74528;7117;0
74528;2116;0
74528;1454;1
74528;7943;1
31476;1674;1
31476;3403;0
31476;2116;1
31476;1454;1
97605;1674;1
97605;5056;0
97605;7117;0
97605;3403;0
97605;2116;1
97605;1454;1
33059;1674;1
33059;7117;0
33059;3403;0
33059;2116;0
33059;1454;1
33059;7943;1
87484;1674;1
87484;3403;0
87484;2116;1
87484;1454;1
30989;1674;1
30989;5056;0
30989;3403;0
30989;2116;0
30989;1454;1
30989;7943;1
40339;1674;1
40339;5056;0
40339;7117;0
40339;3403;0
40339;2116;0
40339;1454;1
40339;7943;1
32030;1674;1
32030;5056;0
32030;3403;0
32030;2116;1
32030;1454;1
82845;1674;1
82845;7117;0
82845;3403;0
82845;1454;1
82845;7943;1
11528;1674;1
11528;5056;0
11528;3403;0
11528;2116;1
11528;1454;1
22594;1674;1
22594;5056;0
22594;2116;1
22594;1454;1
87827;1674;1
87827;7117;0
87827;3403;0
87827;2116;1
87827;1454;1
95108;1674;1
95108;5056;0
95108;7117;0
95108;3403;0
95108;2116;1
95108;1454;1
25601;1674;1
25601;7117;0
25601;3403;0
25601;1454;1
25601;7943;1
75159;1674;1
75159;5056;0
75159;3403;0
75159;2116;0
75159;1454;1
75159;7943;1
77650;1674;1
77650;5056;0
77650;7117;0
77650;2116;1
77650;1454;1
12327;1674;1
12327;5056;0
12327;7117;0
12327;3403;0
12327;2116;0
12327;1454;1
12327;7943;1
95339;1674;1
95339;5056;0
95339;7117;0
95339;1454;1
95339;7943;1
99167;1674;1
99167;3403;0
99167;2116;1
99167;1454;1
67621;1674;1
67621;5056;0
67621;7117;0
67621;2116;1
67621;1454;1
29868;1674;1
29868;5056;0
29868;7117;0
29868;3403;0
29868;1454;1
29868;7943;1
34795;1674;1
34795;7117;0
34795;3403;0
34795;2116;1
34795;1454;1
51849;1674;1
51849;3403;0
51849;2116;1
51849;1454;1
29273;1674;1
29273;7117;0
29273;3403;0
29273;1454;1
29273;7943;1
68204;1674;1
68204;3403;0
68204;2116;1
68204;1454;1
61370;1674;1
61370;5056;0
61370;7117;0
61370;2116;0
61370;1454;1
61370;7943;1
40041;1674;1
40041;3403;0
40041;1454;1
40041;7943;1
60661;1674;1
60661;5056;0
60661;2116;0
60661;1454;1
60661;7943;1
42029;1674;1
42029;3403;0
42029;2116;1
42029;1454;1
13657;1674;1
13657;5056;0
13657;3403;0
13657;2116;0
13657;1454;1
13657;7943;1
57258;1674;1
57258;7117;0
57258;2116;1
57258;1454;1
49512;1674;1
49512;5056;0
49512;1454;1
49512;7943;1
19757;1674;1
19757;3403;0
19757;1454;1
19757;7943;1
54380;1674;1
54380;7117;0
54380;1454;1
54380;7943;1
62553;1674;1
62553;5056;0
62553;7117;0
62553;2116;1
62553;1454;1
22139;1674;1
22139;7117;0
22139;2116;1
22139;1454;1
24138;1674;1
24138;5056;0
24138;3403;0
24138;2116;1
24138;1454;1
43461;1674;1
43461;7117;0
43461;1454;1
43461;7943;1
67792;1674;1
67792;7117;0
67792;2116;1
67792;1454;1
67792;7943;0
98588;1674;1
98588;5056;0
98588;7117;0
98588;3403;0
98588;2116;1
98588;1454;1
95263;1674;1
95263;5056;0
95263;7117;0
95263;3403;0
95263;1454;1
95263;7943;1
44575;1674;1
44575;5056;0
44575;7117;0
44575;3403;0
44575;2116;1
44575;1454;1
45119;1674;1
45119;7117;0
45119;3403;0
45119;2116;1
45119;1454;1
74380;1674;1
74380;7117;0
74380;3403;0
74380;2116;1
74380;1454;1
20332;1674;1
20332;7117;0
20332;3403;0
20332;2116;1
20332;1454;1
69685;1674;1
69685;1454;1
69685;7943;1
71369;1674;1
71369;5056;0
71369;7117;0
71369;3403;0
71369;2116;0
71369;1454;1
71369;7943;1
35578;1674;1
35578;3403;0
35578;1454;1
35578;7943;1
43401;1674;1
43401;5056;0
43401;7117;0
43401;3403;0
43401;2116;0
43401;1454;1
43401;7943;1
